"","acceptedUsageKey","totalOcc","scientificName","key","kingdom","phylum","class","order","family"
"49",2480564,19829,"Buteo rufinus (Cretzschmar, 1829)",2480564,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"50",2493114,19908,"Acrocephalus paludicola (Vieillot, 1817)",2493114,"Animalia","Chordata","Aves","Passeriformes","Acrocephalidae"
"51",2474055,20092,"Alectoris graeca (Meisner, 1804)",2474055,"Animalia","Chordata","Aves","Galliformes","Phasianidae"
"52",2480353,20322,"Pelecanus crispus Bruch, 1832",2480353,"Animalia","Chordata","Aves","Pelecaniformes","Pelecanidae"
"53",5232431,20466,"Polysticta stelleri (Pallas, 1769)",5232431,"Animalia","Chordata","Aves","Anseriformes","Anatidae"
"54",9691034,23310,"Phoenicopterus ruber Linnaeus, 1758",9691034,"Animalia","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae"
"55",2480204,23983,"Pterocles alchata (Linnaeus, 1766)",2480204,"Animalia","Chordata","Aves","Pteroclidiformes","Pteroclididae"
"56",2497509,24044,"Strix uralensis Pallas, 1771",2497509,"Animalia","Chordata","Aves","Strigiformes","Strigidae"
"57",5231236,24881,"Oenanthe leucura (Gmelin, 1789)",5231236,"Animalia","Chordata","Aves","Passeriformes","Muscicapidae"
"58",2492854,27844,"Lanius minor Gmelin, 1788",2492854,"Animalia","Chordata","Aves","Passeriformes","Laniidae"
"59",2481831,30065,"Gallinago media (Latham, 1787)",2481831,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae"
"60",2480510,30737,"Aquila adalberti C.L.Brehm, 1861",2480510,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"61",2477927,32718,"Dendrocopos leucotos (Bechstein, 1802)",2477927,"Animalia","Chordata","Aves","Piciformes","Picidae"
"62",2498302,35847,"Oxyura leucocephala (Scopoli, 1769)",2498302,"Animalia","Chordata","Aves","Anseriformes","Anatidae"
"63",2478031,38367,"Dendrocopos syriacus (Hemprich & Ehrenberg, 1833)",2478031,"Animalia","Chordata","Aves","Piciformes","Picidae"
"64",2480757,40759,"Glareola pratincola (Linnaeus, 1766)",2480757,"Animalia","Chordata","Aves","Charadriiformes","Glareolidae"
"65",2481521,44242,"Calonectris diomedea (Scopoli, 1769)",2481521,"Animalia","Chordata","Aves","Procellariiformes","Procellariidae"
"66",5229360,47213,"Puffinus puffinus mauretanicus Lowe, 1921",6486580,"Animalia","Chordata","Aves","Procellariiformes","Procellariidae"
"67",2474921,49064,"Otis tarda Linnaeus, 1758",2474921,"Animalia","Chordata","Aves","Otidiformes","Otididae"
"68",2493124,50701,"Acrocephalus melanopogon (Temminck, 1823)",2493124,"Animalia","Chordata","Aves","Passeriformes","Acrocephalidae"
"69",5844449,51949,"Hieraaetus fasciatus (Vieillot, 1822)",2480690,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"70",2498026,54484,"Anser erythropus (Linnaeus, 1758)",2498026,"Animalia","Chordata","Aves","Anseriformes","Anatidae"
"71",4408455,56252,"Hydrobates pelagicus (Linnaeus, 1758)",4408455,"Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae"
"72",2492955,57156,"Sylvia nisoria (Bechstein, 1792)",2492955,"Animalia","Chordata","Aves","Passeriformes","Sylviidae"
"73",2480505,57770,"Aquila pomarina C.L.Brehm, 1831",2480505,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"74",5232451,58532,"Branta ruficollis (Pallas, 1769)",5232451,"Animalia","Chordata","Aves","Anseriformes","Anatidae"
"75",2490681,61470,"Calandrella brachydactyla (Leisler, 1814)",2490681,"Animalia","Chordata","Aves","Passeriformes","Alaudidae"
"76",2480491,62892,"Circus macrourus (S.G.Gmelin, 1770)",2480491,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"77",2480649,65329,"Gypaetus barbatus (Linnaeus, 1758)",2480649,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"78",2481062,69655,"Falco vespertinus Linnaeus, 1766",2481062,"Animalia","Chordata","Aves","Falconiformes","Falconidae"
"79",2480281,73364,"Charadrius morinellus morinellus",10908447,"Animalia","Chordata","Aves","Charadriiformes","Charadriidae"
"80",2498259,75553,"Aythya nyroca (Güldenstädt, 1770)",2498259,"Animalia","Chordata","Aves","Anseriformes","Anatidae"
"81",6065810,77885,"Larus genei Brème, 1839",2481178,"Animalia","Chordata","Aves","Charadriiformes","Laridae"
"82",2497894,78461,"Surnia ulula (Linnaeus, 1758)",2497894,"Animalia","Chordata","Aves","Strigiformes","Strigidae"
"83",9584698,80509,"Falco naumanni J.G.Fleischer, 1818",9584698,"Animalia","Chordata","Aves","Falconiformes","Falconidae"
"84",5228228,81144,"Tetrax tetrax (Linnaeus, 1758)",5228228,"Animalia","Chordata","Aves","Otidiformes","Otididae"
"85",2480696,82241,"Neophron percnopterus (Linnaeus, 1758)",2480696,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"86",2490613,83871,"Melanocorypha calandra (Linnaeus, 1766)",2490613,"Animalia","Chordata","Aves","Passeriformes","Alaudidae"
"87",2480906,84029,"Ardeola ralloides (Scopoli, 1769)",2480906,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae"
"88",7406504,86501,"Larus audouinii Payraudeau, 1826",2481193,"Animalia","Chordata","Aves","Charadriiformes","Laridae"
"89",2477804,87037,"Picoides tridactylus (Linnaeus, 1758)",2477804,"Animalia","Chordata","Aves","Piciformes","Picidae"
"90",2473663,91280,"Bonasa bonasia (Linnaeus, 1758)",2473671,"Animalia","Chordata","Aves","Galliformes","Phasianidae"
"91",2474621,91480,"Porzana porzana (Linnaeus, 1766)",2474621,"Animalia","Chordata","Aves","Gruiformes","Rallidae"
"92",5959092,93442,"Bubo bubo (Linnaeus, 1758)",5959092,"Animalia","Chordata","Aves","Strigiformes","Strigidae"
"93",2480372,94026,"Elanus caeruleus (Desfontaines, 1789)",2480372,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"94",2480850,97074,"Ixobrychus minutus (Linnaeus, 1766)",2480850,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae"
"95",2480509,98819,"Aquila clanga Pallas, 1811",2480509,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"96",2492605,100853,"Ficedula parva (Bechstein, 1792)",2492605,"Animalia","Chordata","Aves","Passeriformes","Muscicapidae"
"97",5229165,100938,"Aegypius monachus (Linnaeus, 1766)",5229165,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"98",2490274,105188,"Anthus campestris (Linnaeus, 1758)",2490274,"Animalia","Chordata","Aves","Passeriformes","Motacillidae"
"99",5739290,106624,"Phalaropus lobatus (Linnaeus, 1758)",5739290,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae"
"100",2474416,107558,"Porphyrio porphyrio (Linnaeus, 1758)",2474416,"Animalia","Chordata","Aves","Gruiformes","Rallidae"
"101",2475365,109037,"Coracias garrulus Linnaeus, 1758",2475365,"Animalia","Chordata","Aves","Coraciiformes","Coraciidae"
"102",2491482,109781,"Emberiza hortulana Linnaeus, 1758",2491482,"Animalia","Chordata","Aves","Passeriformes","Emberizidae"
"103",2481121,124640,"Chlidonias hybrida (Pallas, 1811)",2481121,"Animalia","Chordata","Aves","Charadriiformes","Laridae"
"104",5232162,128957,"Glaucidium passerinum (Linnaeus, 1758)",5232162,"Animalia","Chordata","Aves","Strigiformes","Strigidae"
"105",2473577,134737,"Tetrao urogallus Linnaeus, 1758",2473577,"Animalia","Chordata","Aves","Galliformes","Phasianidae"
"106",2482100,135550,"Burhinus oedicnemus (Linnaeus, 1758)",2482100,"Animalia","Chordata","Aves","Charadriiformes","Burhinidae"
"107",9330514,136959,"Galerida theklae A.E.Brehm, 1857",9330514,"Animalia","Chordata","Aves","Passeriformes","Alaudidae"
"108",4408498,143062,"Crex crex (Linnaeus, 1758)",4408498,"Animalia","Chordata","Aves","Gruiformes","Rallidae"
"109",5739298,144463,"Aegolius funereus (Linnaeus, 1758)",5739298,"Animalia","Chordata","Aves","Strigiformes","Strigidae"
"110",2481962,146770,"Gavia immer (Brunnich, 1764)",2481962,"Animalia","Chordata","Aves","Gaviiformes","Gaviidae"
"111",2498015,154787,"Tadorna ferruginea (Pallas, 1764)",2498015,"Animalia","Chordata","Aves","Anseriformes","Anatidae"
"112",2492601,154790,"Ficedula albicollis (Temminck, 1815)",2492601,"Animalia","Chordata","Aves","Passeriformes","Muscicapidae"
"113",2492949,159579,"Sylvia undata (Boddaert, 1783)",2492949,"Animalia","Chordata","Aves","Passeriformes","Sylviidae"
"114",2480863,163628,"Nycticorax nycticorax (Linnaeus, 1758)",2480863,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae"
"115",2482552,174325,"Pyrrhocorax pyrrhocorax (Linnaeus, 1758)",2482552,"Animalia","Chordata","Aves","Passeriformes","Corvidae"
"116",2480311,177558,"Charadrius alexandrinus Linnaeus, 1758",2480311,"Animalia","Chordata","Aves","Charadriiformes","Charadriidae"
"117",2481909,188836,"Ciconia nigra (Linnaeus, 1758)",2481909,"Animalia","Chordata","Aves","Ciconiiformes","Ciconiidae"
"118",8773033,192602,"Dendrocopos medius (Linnaeus, 1758)",2478026,"Animalia","Chordata","Aves","Piciformes","Picidae"
"119",2478548,200813,"Picus canus J.F.Gmelin, 1788",2478548,"Animalia","Chordata","Aves","Piciformes","Picidae"
"120",8109681,202447,"Caprimulgus europaeus Linnaeus, 1758",8109681,"Animalia","Chordata","Aves","Caprimulgiformes","Caprimulgidae"
"121",2498338,215697,"Cygnus bewickii Yarrell, 1830",4409105,"Animalia","Chordata","Aves","Anseriformes","Anatidae"
"122",2497295,215976,"Asio flammeus (Pontoppidan, 1763)",2497295,"Animalia","Chordata","Aves","Strigiformes","Strigidae"
"123",2480934,230620,"Ardea purpurea Linnaeus, 1766",2480934,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae"
"124",2480773,231549,"Plegadis falcinellus (Linnaeus, 1766)",2480773,"Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae"
"125",2480506,251113,"Aquila chrysaetos (Linnaeus, 1758)",2480506,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"126",5789279,263842,"Sterna albifrons Pallas, 1764",5229215,"Animalia","Chordata","Aves","Charadriiformes","Laridae"
"127",2481119,265808,"Chlidonias niger (Linnaeus, 1758)",2481119,"Animalia","Chordata","Aves","Charadriiformes","Laridae"
"128",2481236,270192,"Sterna caspia Pallas, 1770",5229221,"Animalia","Chordata","Aves","Charadriiformes","Laridae"
"129",2480495,279274,"Circus pygargus (Linnaeus, 1758)",2480495,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"130",2480666,308667,"Circaetus gallicus (Gmelin, 1788)",2480666,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"131",2480685,322687,"Hieraaetus pennatus (Gmelin, 1788)",2480685,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"132",6065841,356403,"Larus minutus Pallas, 1776",2481143,"Animalia","Chordata","Aves","Charadriiformes","Laridae"
"133",2480910,367966,"Botaurus stellaris (Linnaeus, 1758)",2480910,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae"
"134",2482059,372253,"Podiceps auritus (Linnaeus, 1758)",2482059,"Animalia","Chordata","Aves","Podicipediformes","Podicipedidae"
"135",9813242,372532,"Falco columbarius Linnaeus, 1758",9813242,"Animalia","Chordata","Aves","Falconiformes","Falconidae"
"136",8151548,426173,"Larus melanocephalus Temminck, 1820",2481194,"Animalia","Chordata","Aves","Charadriiformes","Laridae"
"137",2480389,476476,"Gyps fulvus (Hablizl, 1783)",2480389,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"138",5229126,476903,"Himantopus himantopus (Linnaeus, 1758)",5229126,"Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae"
"139",5229230,506248,"Sterna paradisaea Pontoppidan, 1763",5229230,"Animalia","Chordata","Aves","Charadriiformes","Laridae"
"140",2481681,519411,"Limosa lapponica (Linnaeus, 1758)",2481681,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae"
"141",2481959,557322,"Gavia arctica (Linnaeus, 1758)",2481959,"Animalia","Chordata","Aves","Gaviiformes","Gaviidae"
"142",2481958,562598,"Gavia stellata (Pontoppidan, 1763)",2481958,"Animalia","Chordata","Aves","Gaviiformes","Gaviidae"
"143",2498285,564209,"Mergus albellus albellus",11083071,"Animalia","Chordata","Aves","Anseriformes","Anatidae"
"144",2480420,580984,"Pernis apivorus (Linnaeus, 1758)",2480420,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"145",2481240,629031,"Sterna sandvicensis Latham, 1787",5229223,"Animalia","Chordata","Aves","Charadriiformes","Laridae"
"146",2490604,690823,"Lullula arborea (Linnaeus, 1758)",2490604,"Animalia","Chordata","Aves","Passeriformes","Alaudidae"
"147",4408732,777607,"Luscinia svecica (Linnaeus, 1758)",4408732,"Animalia","Chordata","Aves","Passeriformes","Muscicapidae"
"148",2480726,782054,"Pandion haliaetus (Linnaeus, 1758)",2480726,"Animalia","Chordata","Aves","Accipitriformes","Pandionidae"
"149",5229167,815651,"Milvus migrans (Boddaert, 1783)",5229167,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"150",2481713,829273,"Tringa glareola Linnaeus, 1758",2481713,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae"
"151",2480487,835211,"Circus cyaneus (Linnaeus, 1766)",2480487,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"152",7745240,847597,"Lanius collurio Linnaeus, 1758",7745240,"Animalia","Chordata","Aves","Passeriformes","Laniidae"
"153",2480259,862898,"Recurvirostra avosetta Linnaeus, 1758",2480259,"Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae"
"154",2480801,869516,"Platalea leucorodia Linnaeus, 1758",2480801,"Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae"
"155",2480332,875365,"Pluvialis apricaria (Linnaeus, 1758)",2480332,"Animalia","Chordata","Aves","Charadriiformes","Charadriidae"
"156",2477872,930423,"Dryocopus martius (Linnaeus, 1758)",2477872,"Animalia","Chordata","Aves","Piciformes","Picidae"
"157",2481047,930631,"Falco peregrinus Tunstall, 1771",2481047,"Animalia","Chordata","Aves","Falconiformes","Falconidae"
"158",8250742,1077980,"Philomachus pugnax (Linnaeus, 1758)",5229387,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae"
"159",5232464,1239687,"Branta leucopsis (Bechstein, 1803)",5232464,"Animalia","Chordata","Aves","Anseriformes","Anatidae"
"160",2481912,1285347,"Ciconia ciconia (Linnaeus, 1758)",2481912,"Animalia","Chordata","Aves","Ciconiiformes","Ciconiidae"
"161",2480876,1345805,"Egretta garzetta (Linnaeus, 1766)",2480876,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae"
"162",9367409,1408090,"Sterna hirundo Linnaeus, 1758",9367409,"Animalia","Chordata","Aves","Charadriiformes","Laridae"
"163",2475532,1438238,"Alcedo atthis (Linnaeus, 1758)",2475532,"Animalia","Chordata","Aves","Coraciiformes","Alcedinidae"
"164",5229168,1442831,"Milvus milvus (Linnaeus, 1758)",5229168,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"165",2480449,1585306,"Haliaeetus albicilla (Linnaeus, 1758)",2480449,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"166",2498347,1755271,"Cygnus cygnus (Linnaeus, 1758)",2498347,"Animalia","Chordata","Aves","Anseriformes","Anatidae"
"167",2474950,1944745,"Grus grus (Linnaeus, 1758)",2474950,"Animalia","Chordata","Aves","Gruiformes","Gruidae"
"168",2480482,2330054,"Circus aeruginosus (Linnaeus, 1758)",2480482,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
